"subject" "activity" "measurement" "averagemean" "averagestd"
1 "walking" "fBodyAccJerkX" -0.17 -0.13
1 "walking" "fBodyAccJerkY" -0.04 0.11
1 "walking" "fBodyAccJerkZ" -0.47 -0.53
1 "walking" "fBodyAccMag" -0.13 -0.4
1 "walking" "fBodyAccX" -0.2 -0.32
1 "walking" "fBodyAccY" 0.09 0.06
1 "walking" "fBodyAccZ" -0.33 -0.28
1 "walking" "fBodyBodyAccJerkMag" -0.06 -0.1
1 "walking" "fBodyBodyGyroJerkMag" -0.32 -0.38
1 "walking" "fBodyBodyGyroMag" -0.2 -0.32
1 "walking" "fBodyGyroX" -0.34 -0.52
1 "walking" "fBodyGyroY" -0.1 -0.03
1 "walking" "fBodyGyroZ" -0.26 -0.44
1 "walking" "tBodyAccJerkMag" -0.14 -0.07
1 "walking" "tBodyAccJerkX" 0.07 -0.11
1 "walking" "tBodyAccJerkY" 0.03 0.07
1 "walking" "tBodyAccJerkZ" 0 -0.5
1 "walking" "tBodyAccMag" -0.14 -0.22
1 "walking" "tBodyAccX" 0.28 -0.28
1 "walking" "tBodyAccY" -0.02 0.11
1 "walking" "tBodyAccZ" -0.11 -0.26
1 "walking" "tBodyGyroJerkMag" -0.3 -0.33
1 "walking" "tBodyGyroJerkX" -0.09 -0.21
1 "walking" "tBodyGyroJerkY" -0.04 -0.3
1 "walking" "tBodyGyroJerkZ" -0.05 -0.4
1 "walking" "tBodyGyroMag" -0.16 -0.19
1 "walking" "tBodyGyroX" -0.04 -0.47
1 "walking" "tBodyGyroY" -0.07 -0.05
1 "walking" "tBodyGyroZ" 0.08 -0.34
1 "walking" "tGravityAccMag" -0.14 -0.22
1 "walking" "tGravityAccX" 0.94 -0.98
1 "walking" "tGravityAccY" -0.28 -0.97
1 "walking" "tGravityAccZ" -0.07 -0.95
1 "walking_upstairs" "fBodyAccJerkX" -0.48 -0.46
1 "walking_upstairs" "fBodyAccJerkY" -0.41 -0.38
1 "walking_upstairs" "fBodyAccJerkZ" -0.69 -0.73
1 "walking_upstairs" "fBodyAccMag" -0.35 -0.42
1 "walking_upstairs" "fBodyAccX" -0.4 -0.34
1 "walking_upstairs" "fBodyAccY" -0.19 0.02
1 "walking_upstairs" "fBodyAccZ" -0.43 0.09
1 "walking_upstairs" "fBodyBodyAccJerkMag" -0.44 -0.53
1 "walking_upstairs" "fBodyBodyGyroJerkMag" -0.63 -0.69
1 "walking_upstairs" "fBodyBodyGyroMag" -0.33 -0.18
1 "walking_upstairs" "fBodyGyroX" -0.49 -0.57
1 "walking_upstairs" "fBodyGyroY" -0.32 0.15
1 "walking_upstairs" "fBodyGyroZ" -0.45 -0.57
1 "walking_upstairs" "tBodyAccJerkMag" -0.47 -0.48
1 "walking_upstairs" "tBodyAccJerkX" 0.1 -0.45
1 "walking_upstairs" "tBodyAccJerkY" 0.02 -0.38
1 "walking_upstairs" "tBodyAccJerkZ" -0.05 -0.71
1 "walking_upstairs" "tBodyAccMag" -0.13 -0.32
1 "walking_upstairs" "tBodyAccX" 0.26 -0.35
1 "walking_upstairs" "tBodyAccY" -0.02 0
1 "walking_upstairs" "tBodyAccZ" -0.1 -0.02
1 "walking_upstairs" "tBodyGyroJerkMag" -0.59 -0.65
1 "walking_upstairs" "tBodyGyroJerkX" -0.12 -0.61
1 "walking_upstairs" "tBodyGyroJerkY" -0.04 -0.6
1 "walking_upstairs" "tBodyGyroJerkZ" -0.04 -0.61
1 "walking_upstairs" "tBodyGyroMag" -0.13 -0.15
1 "walking_upstairs" "tBodyGyroX" 0.05 -0.54
1 "walking_upstairs" "tBodyGyroY" -0.17 0
1 "walking_upstairs" "tBodyGyroZ" 0.06 -0.51
1 "walking_upstairs" "tGravityAccMag" -0.13 -0.32
1 "walking_upstairs" "tGravityAccX" 0.89 -0.96
1 "walking_upstairs" "tGravityAccY" -0.36 -0.95
1 "walking_upstairs" "tGravityAccZ" -0.08 -0.91
1 "walking_downstairs" "fBodyAccJerkX" -0.03 -0.09
1 "walking_downstairs" "fBodyAccJerkY" -0.13 -0.13
1 "walking_downstairs" "fBodyAccJerkZ" -0.29 -0.4
1 "walking_downstairs" "fBodyAccMag" 0.1 -0.19
1 "walking_downstairs" "fBodyAccX" 0.04 0.02
1 "walking_downstairs" "fBodyAccY" 0 -0.11
1 "walking_downstairs" "fBodyAccZ" -0.23 -0.3
1 "walking_downstairs" "fBodyBodyAccJerkMag" 0.03 -0.1
1 "walking_downstairs" "fBodyBodyGyroJerkMag" -0.28 -0.39
1 "walking_downstairs" "fBodyBodyGyroMag" -0.19 -0.4
1 "walking_downstairs" "fBodyGyroX" -0.35 -0.5
1 "walking_downstairs" "fBodyGyroY" -0.06 -0.18
1 "walking_downstairs" "fBodyGyroZ" -0.03 -0.24
1 "walking_downstairs" "tBodyAccJerkMag" -0.09 -0.03
1 "walking_downstairs" "tBodyAccJerkX" 0.05 -0.01
1 "walking_downstairs" "tBodyAccJerkY" 0.03 -0.1
1 "walking_downstairs" "tBodyAccJerkZ" -0.01 -0.35
1 "walking_downstairs" "tBodyAccMag" 0.03 0.02
1 "walking_downstairs" "tBodyAccX" 0.29 0.03
1 "walking_downstairs" "tBodyAccY" -0.01 -0.03
1 "walking_downstairs" "tBodyAccZ" -0.11 -0.23
1 "walking_downstairs" "tBodyGyroJerkMag" -0.3 -0.31
1 "walking_downstairs" "tBodyGyroJerkX" -0.07 -0.49
1 "walking_downstairs" "tBodyGyroJerkY" -0.04 -0.24
1 "walking_downstairs" "tBodyGyroJerkZ" -0.03 -0.27
1 "walking_downstairs" "tBodyGyroMag" -0.08 -0.23
1 "walking_downstairs" "tBodyGyroX" -0.04 -0.46
1 "walking_downstairs" "tBodyGyroY" -0.09 -0.13
1 "walking_downstairs" "tBodyGyroZ" 0.09 -0.12
1 "walking_downstairs" "tGravityAccMag" 0.03 0.02
1 "walking_downstairs" "tGravityAccX" 0.93 -0.95
1 "walking_downstairs" "tGravityAccY" -0.27 -0.94
1 "walking_downstairs" "tGravityAccZ" -0.06 -0.9
1 "sitting" "fBodyAccJerkX" -0.99 -0.99
1 "sitting" "fBodyAccJerkY" -0.98 -0.98
1 "sitting" "fBodyAccJerkZ" -0.99 -0.99
1 "sitting" "fBodyAccMag" -0.95 -0.93
1 "sitting" "fBodyAccX" -0.98 -0.98
1 "sitting" "fBodyAccY" -0.94 -0.92
1 "sitting" "fBodyAccZ" -0.96 -0.93
1 "sitting" "fBodyBodyAccJerkMag" -0.99 -0.98
1 "sitting" "fBodyBodyGyroJerkMag" -0.99 -0.99
1 "sitting" "fBodyBodyGyroMag" -0.96 -0.93
1 "sitting" "fBodyGyroX" -0.98 -0.98
1 "sitting" "fBodyGyroY" -0.98 -0.96
1 "sitting" "fBodyGyroZ" -0.95 -0.94
1 "sitting" "tBodyAccJerkMag" -0.99 -0.98
1 "sitting" "tBodyAccJerkX" 0.08 -0.99
1 "sitting" "tBodyAccJerkY" 0 -0.98
1 "sitting" "tBodyAccJerkZ" 0 -0.99
1 "sitting" "tBodyAccMag" -0.95 -0.93
1 "sitting" "tBodyAccX" 0.26 -0.98
1 "sitting" "tBodyAccY" 0 -0.92
1 "sitting" "tBodyAccZ" -0.1 -0.94
1 "sitting" "tBodyGyroJerkMag" -0.99 -0.99
1 "sitting" "tBodyGyroJerkX" -0.09 -0.99
1 "sitting" "tBodyGyroJerkY" -0.04 -0.99
1 "sitting" "tBodyGyroJerkZ" -0.05 -0.99
1 "sitting" "tBodyGyroMag" -0.93 -0.93
1 "sitting" "tBodyGyroX" -0.05 -0.98
1 "sitting" "tBodyGyroY" -0.09 -0.97
1 "sitting" "tBodyGyroZ" 0.06 -0.94
1 "sitting" "tGravityAccMag" -0.95 -0.93
1 "sitting" "tGravityAccX" 0.83 -0.97
1 "sitting" "tGravityAccY" 0.2 -0.94
1 "sitting" "tGravityAccZ" 0.33 -0.95
1 "standing" "fBodyAccJerkX" -0.99 -1
1 "standing" "fBodyAccJerkY" -0.99 -0.99
1 "standing" "fBodyAccJerkZ" -0.99 -0.99
1 "standing" "fBodyAccMag" -0.99 -0.98
1 "standing" "fBodyAccX" -1 -1
1 "standing" "fBodyAccY" -0.98 -0.97
1 "standing" "fBodyAccZ" -0.99 -0.98
1 "standing" "fBodyBodyAccJerkMag" -0.99 -0.99
1 "standing" "fBodyBodyGyroJerkMag" -0.99 -0.99
1 "standing" "fBodyBodyGyroMag" -0.98 -0.98
1 "standing" "fBodyGyroX" -0.99 -0.99
1 "standing" "fBodyGyroY" -0.99 -0.99
1 "standing" "fBodyGyroZ" -0.98 -0.98
1 "standing" "tBodyAccJerkMag" -0.99 -0.99
1 "standing" "tBodyAccJerkX" 0.08 -0.99
1 "standing" "tBodyAccJerkY" 0.01 -0.99
1 "standing" "tBodyAccJerkZ" 0 -0.99
1 "standing" "tBodyAccMag" -0.98 -0.98
1 "standing" "tBodyAccX" 0.28 -1
1 "standing" "tBodyAccY" -0.02 -0.97
1 "standing" "tBodyAccZ" -0.11 -0.98
1 "standing" "tBodyGyroJerkMag" -0.99 -0.99
1 "standing" "tBodyGyroJerkX" -0.1 -0.99
1 "standing" "tBodyGyroJerkY" -0.04 -1
1 "standing" "tBodyGyroJerkZ" -0.05 -0.99
1 "standing" "tBodyGyroMag" -0.98 -0.98
1 "standing" "tBodyGyroX" -0.02 -0.99
1 "standing" "tBodyGyroY" -0.06 -0.99
1 "standing" "tBodyGyroZ" 0.07 -0.98
1 "standing" "tGravityAccMag" -0.98 -0.98
